player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Ahkello Witherspoon,11821,CB,LA,13,1,0,26,0,1,6,0,28
Dawuane Smoot,11823,ED,BUF,11,3,2,4,3,0,0,2,8
Chris Wormley,11829,DI,BLT,2,1,0,3,0,0,0,0,3
Duke Riley,11830,LB,MIA,10,2,0,17,0,0,0,0,3
Alex Anzalone,11831,LB,DET,10,13,0,11,4,0,4,1,51
Fabian Moreau,11836,CB,MIN,4,0,0,18,0,0,0,0,7
Shaquill Griffin,11845,CB,MIN,17,6,0,18,0,2,2,0,37
Jourdan Lewis,11846,CB,DAL,16,22,1,9,1,1,5,1,52
John Johnson III,11847,S,LA,2,3,0,26,0,1,0,0,5
Montravius Adams,11848,DI,PIT,11,4,0,25,0,0,0,1,9
Cameron Sutton,11850,CB,PIT,9,5,0,25,1,0,1,0,10
Rasul Douglas,11854,CB,BUF,15,10,1,4,0,0,3,0,49
Trey Hendrickson,11858,ED,CIN,17,7,2,7,16,0,0,18,22
Eddie Jackson,11867,S,LAC,11,5,0,27,1,0,1,0,23
Rayshawn Jenkins,11868,S,SEA,13,9,0,29,0,0,0,2,37
Carl Lawson,11871,ED,DAL,15,2,1,9,6,0,0,6,7
Mack Hollins,11873,WR,BUF,1,0,0,4,0,0,0,0,0
Jalen Reeves-Maybin,11879,LB,DET,10,2,1,11,0,0,0,0,12
Deatrich Wise Jr.,11886,ED,NE,15,9,0,19,3,0,0,5,11
Carlos Watkins,11897,DI,DAL,16,7,0,9,0,0,0,0,5
Grover Stewart,11899,DI,IND,17,25,1,14,2,0,0,4,41
Damontae Kazee,11904,S,PIT,15,4,0,25,0,1,1,0,27
Desmond King II,11906,CB,BLT,2,1,0,3,0,0,0,0,1
Anthony Walker Jr.,11916,LB,MIA,11,17,0,17,0,1,0,1,43
Matt Milano,11918,LB,BUF,4,6,0,4,2,0,0,0,11
Davon Godchaux,11934,DI,NE,17,19,0,19,1,0,0,0,48
Chuck Clark,11941,S,NYJ,12,19,1,22,0,0,1,1,45
Xavier Woods,11946,S,CAR,17,28,0,5,0,3,1,0,88
Al-Quadin Muhammad,11951,ED,DET,9,2,0,11,2,0,1,3,6
D.J. Jones,11953,DI,DEN,17,8,0,10,1,0,0,1,33
Jeremiah Ledbetter,11960,DI,JAX,15,6,0,15,2,0,0,2,31
David Moore,11981,WR,CAR,1,0,0,5,0,0,0,0,0
Patrick O'Connor,12005,DI,DET,12,8,0,11,0,0,0,1,5
Michael Davis,12040,CB,WAS,9,3,0,32,0,0,0,0,7
Josh Tupou,12093,DI,BLT,3,3,0,3,0,0,0,1,2
Taysom Hill,12112,TE,NO,1,0,1,20,0,0,0,0,0
Alex Barrett,12183,ED,SF,3,0,0,28,0,0,0,0,1
Adam Butler,12214,DI,LV,17,15,1,23,5,0,0,6,43
Arthur Maulet,12224,CB,BLT,3,3,0,3,0,0,0,0,4
Dare Ogunbowale,12329,HB,HST,1,0,0,13,0,0,0,0,0
Caleb Johnson,12488,LB,JAX,1,0,0,15,0,0,0,0,0
Sione Takitaki,12666,LB,NE,11,9,0,19,0,0,0,0,11
Sam Eguavoen,15301,LB,NYJ,7,3,0,22,0,0,0,0,7
Ross Dwelley,20994,TE,ATL,1,0,0,2,0,0,0,0,0
Sam Kamara,24176,DI,CLV,11,5,0,8,0,0,0,0,10
Nathan Shepherd,24614,DI,NO,16,12,0,20,4,0,0,2,26
Foyesade Oluokun,24904,LB,JAX,13,28,0,15,0,1,5,1,76
Levi Wallace,25445,CB,DEN,13,4,0,10,0,0,1,0,24
Anfernee Jennings,25449,ED,NE,16,15,1,19,6,0,0,3,56
Sean Murphy-Bunting,25891,CB,ARZ,15,12,2,1,0,3,3,0,40
Clelin Ferrell,25955,ED,WAS,14,9,1,32,4,0,0,3,13
Dexter Lawrence,25991,DI,NYG,12,11,1,21,5,0,0,10,23
KhaDarel Hodge,26104,WR,ATL,2,0,0,2,0,0,0,0,1
Maxx Crosby,26316,ED,LV,12,10,0,23,12,0,0,8,25
Jeremiah Moon,26453,ED,PIT,8,0,0,25,0,0,0,0,1
D.J. Reed,26940,CB,NYJ,14,3,0,22,0,0,7,1,55
Isaiah Rodgers,27069,CB,PHI,13,3,1,24,0,0,3,0,19
Bryce Huff,27128,ED,PHI,12,2,1,24,1,0,0,2,7
Siran Neal,27130,CB,MIA,11,0,0,17,0,0,2,0,5
Montez Sweat,27271,ED,CHI,16,6,2,6,6,0,0,6,17
Devin Bush,27375,LB,CLV,16,24,0,8,2,0,3,1,50
Michael Dwumfour,27376,DI,CLV,1,0,0,8,0,0,0,0,0
David Long Jr.,27377,CB,IND,1,0,0,14,0,0,0,0,0
Joshua Uche,27379,ED,KC,13,5,0,16,2,0,0,2,16
D'Angelo Ross,27732,CB,HST,4,1,0,13,0,0,1,0,10
Khalil Dorsey,27819,CB,DET,6,2,0,11,0,0,1,0,8
Armon Watts,27844,DI,NYG,5,4,0,21,0,0,0,0,2
Joe Gaziano,27949,ED,JAX,3,1,0,15,0,0,0,0,3
DaVon Hamilton,28072,DI,JAX,17,14,0,15,2,0,0,0,47
Dre'Mont Jones,28075,ED,SEA,17,7,0,29,11,0,0,3,14
Malik Harrison,28081,LB,BLT,15,13,0,3,2,0,0,1,29
Jerome Baker,28091,LB,TEN,10,15,1,31,1,0,2,2,41
Neville Gallimore,28094,DI,LA,14,11,0,26,1,0,0,0,11
Tremon Smith,28196,CB,DEN,5,0,0,10,0,0,0,0,0
Troy Dye,28251,LB,LAC,14,8,0,27,0,0,0,2,43
Brenden Schooler,28253,S,NE,8,2,0,19,1,0,0,2,0
Kevin Givens,28308,DI,SF,8,2,0,28,2,0,0,4,5
Myles Adams,28430,DI,DET,7,1,0,11,0,0,0,1,4
Bilal Nichols,28451,DI,ARZ,6,3,0,1,1,0,0,0,7
DeShon Elliott,28854,S,PIT,15,26,2,25,1,1,4,0,83
Jack Jones,29050,CB,LV,17,12,0,23,0,3,10,0,59
David Long Jr.,29367,LB,DET,10,7,0,11,0,0,0,0,34
Germaine Pratt,29407,LB,CIN,17,30,2,7,5,2,3,0,107
Chris Board,29456,LB,BLT,10,8,0,3,0,0,1,1,11
Logan Wilson,29623,LB,CIN,11,33,2,7,4,0,1,0,65
Ty Summers,30242,LB,NYG,4,9,0,21,0,0,1,0,14
Andrew Van Ginkel,30267,ED,MIN,17,17,1,18,9,2,0,12,48
T.J. Edwards,30737,LB,CHI,17,37,1,6,2,1,1,4,90
George Odum,31342,S,SF,7,2,0,28,0,0,4,0,10
Khalen Saunders,31534,DI,NO,13,10,0,20,3,1,0,2,27
Abdullah Anderson,32708,DI,TEN,4,0,0,31,0,0,0,0,0
