player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Bam Knight,97432,HB,NYJ,3,19,2,22,1,10,31,5,7,24,0,68,3.6
Hassan Hall,77705,HB,CLV,4,19,3,8,1,18,28,4,7,23,0,56,2.9
Elijah Dotson,57394,HB,LAC,3,18,4,27,0,40,9,1,3,19,2,146,8.1
Greg Bell,83716,HB,PIT,3,18,2,25,0,8,7,5,5,23,0,34,1.9
D'Ernest Johnson,45734,HB,JAX,3,17,7,15,0,26,22,5,6,22,3,93,5.5
Melvin Gordon III,9448,HB,BLT,3,17,5,3,0,12,29,4,6,21,0,59,3.5
Jake Funk,45835,HB,IND,3,17,3,14,0,9,12,4,5,21,2,54,3.2
Chris Rodriguez Jr.,83689,HB,WAS,3,17,4,32,1,25,4,1,2,18,0,122,7.2
Evan Hull,97302,HB,IND,3,17,6,14,0,8,17,3,3,20,1,53,3.1
Ke'Shawn Vaughn,45866,HB,TB,3,17,3,30,0,9,10,1,2,18,0,22,1.3
Eric Gray,99143,HB,NYG,3,17,2,21,0,9,58,6,7,23,1,36,2.1
Salvon Ahmed,57472,HB,MIA,3,16,4,17,0,65,43,6,6,22,0,142,8.9
Patrick Taylor,40448,HB,GB,3,16,4,12,0,13,21,7,9,23,1,55,3.4
La'Mical Perine,26408,HB,KC,3,16,4,16,0,30,50,4,6,20,0,97,6.1
Mike Boone,31615,HB,HST,3,16,3,13,0,21,68,9,10,25,1,88,5.5
De'Von Achane,124305,HB,MIA,2,16,2,17,0,20,41,4,4,20,0,52,3.3
Xazavian Valladay,57490,HB,PIT,3,16,1,25,0,8,22,1,1,17,0,38,2.4
Jashaun Corbin,83773,HB,NYG,3,16,2,21,0,33,30,6,8,22,1,51,3.2
