player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Tre Brown,55677,CB,SF,1,0,1,28,0,0,0,0,3
Thomas Graham Jr.,55685,CB,BLT,1,0,0,3,0,1,0,0,1
Deommodore Lenoir,55686,CB,SF,1,0,0,28,0,0,0,0,0
Tariq Castro-Fields,55689,CB,PHI,1,0,0,24,0,0,1,0,1
Marcus Jones,55717,CB,NE,2,0,0,19,0,0,1,0,1
Ja'Marcus Ingram,55738,CB,BUF,3,1,0,4,0,0,0,0,6
Shaun Jolly,55783,CB,LA,3,0,0,26,0,0,1,0,9
Arron Mosby,55908,ED,GB,3,1,0,12,0,0,0,0,5
Eric Stokes,55912,CB,LV,3,0,0,23,0,0,0,0,3
Grant Stuard,55933,LB,DET,4,3,1,11,0,0,0,1,11
Bryan Cook,55940,S,KC,3,3,0,16,0,0,1,0,5
Tony Adams,55953,S,NYJ,2,1,0,22,0,0,0,0,2
Raheem Layne,55960,S,NYG,2,1,0,21,0,0,1,0,3
Geno Stone,55967,S,CIN,1,0,0,7,0,0,0,0,0
Gervarrius Owens,55987,S,MIN,2,0,0,18,1,0,0,0,1
Markquese Bell,56033,S,DAL,2,1,0,9,0,0,0,0,4
Mike Brown,56054,S,TEN,3,2,0,31,0,0,1,0,9
Ambry Thomas,56058,CB,MIN,3,0,0,18,0,1,0,0,1
Benjamin St-Juste,56061,CB,LAC,2,2,0,27,0,0,0,0,1
Ty Okada,56089,S,SEA,3,4,0,29,0,1,0,0,7
Nephi Sewell,56107,LB,NO,3,3,0,20,0,0,0,0,2
Kemon Hall,56123,CB,DAL,3,0,0,9,0,1,1,0,13
Damarri Mathis,56143,CB,DEN,3,0,0,10,0,0,1,0,1
Jason Pinnock,56144,S,SF,1,1,0,28,0,0,0,0,0
Tre Avery,56146,CB,TB,3,0,0,30,0,0,1,0,12
Marte Mapu,56159,LB,NE,2,1,0,19,0,0,1,0,8
Keisean Nixon,56167,CB,GB,2,0,0,12,0,0,0,0,1
Ifeatu Melifonwu,56203,S,MIA,3,0,0,17,0,0,0,0,3
Christian Braswell,56207,CB,JAX,2,0,0,15,0,0,0,0,5
